Date,0x - Price ($)
2017-10-16,0.220802
2017-10-17,0.219013
2017-10-18,0.224353
2017-10-19,0.211617
2017-10-20,0.204243
2017-10-21,0.204542
2017-10-22,0.192797
2017-10-23,0.203119
2017-10-24,0.196141
2017-10-25,0.19822
2017-10-26,0.191683
2017-10-27,0.192957
2017-10-28,0.191387
2017-10-29,0.18647
2017-10-30,0.171917
2017-10-31,0.167524
2017-11-01,0.169436
2017-11-02,0.181469
2017-11-03,0.183118
2017-11-04,0.176472
2017-11-05,0.182228
2017-11-06,0.202105
2017-11-07,0.220296
2017-11-08,0.233807
2017-11-09,0.19914
2017-11-10,0.198168
2017-11-11,0.183699
2017-11-12,0.192257
2017-11-13,0.200607
2017-11-14,0.198832
2017-11-15,0.188457
2017-11-16,0.184129
2017-11-17,0.204847
2017-11-18,0.196526
2017-11-19,0.200003
2017-11-20,0.193372
2017-11-21,0.229486
2017-11-22,0.218291
2017-11-23,0.233745
2017-11-24,0.229907
2017-11-25,0.23122
2017-11-26,0.237081
2017-11-27,0.233216
2017-11-28,0.194277
2017-11-29,0.196265
2017-11-30,0.203421
2017-12-01,0.21523
2017-12-02,0.212266
2017-12-03,0.2267
2017-12-04,0.226351
2017-12-05,0.288009
2017-12-06,0.280709
2017-12-07,0.278704
2017-12-08,0.2457
2017-12-09,0.232646
2017-12-10,0.239366
2017-12-11,0.259747
2017-12-12,0.349488
2017-12-13,0.390955
2017-12-14,0.367077
2017-12-15,0.386849
2017-12-16,0.468938
2017-12-17,0.494646
2017-12-18,0.560256
2017-12-19,0.589061
2017-12-20,0.609005
2017-12-21,0.507595
2017-12-22,0.685841
2017-12-23,0.656327
2017-12-24,0.714812
2017-12-25,0.680874
2017-12-26,0.70271
2017-12-27,0.679681
2017-12-28,0.71269
2017-12-29,0.730052
2017-12-30,0.973006
2017-12-31,0.914392
2018-01-01,0.927922
2018-01-02,1.008425
2018-01-03,1.101488
2018-01-04,1.196561
2018-01-05,1.441296
2018-01-06,1.429257
2018-01-07,2.039065
2018-01-08,2.327227
2018-01-09,2.234961
2018-01-10,1.946629
2018-01-11,2.347813
2018-01-12,2.496939
2018-01-13,2.090971
2018-01-14,1.829297
2018-01-15,1.608531
2018-01-16,1.559067
2018-01-17,1.674509
2018-01-18,1.855567
2018-01-19,2.110205
2018-01-20,1.742747
2018-01-21,1.69542
2018-01-22,1.597317
2018-01-23,1.665204
2018-01-24,1.631328
2018-01-25,2.034514
2018-01-26,2.011723
2018-01-27,1.979192
2018-01-28,1.842569
2018-01-29,1.829336
2018-01-30,1.595033
2018-01-31,1.830909
2018-02-01,1.60061
2018-02-02,1.309784
2018-02-03,1.376865
2018-02-04,1.162387
2018-02-05,0.815441
2018-02-06,1.008849
2018-02-07,0.99435
2018-02-08,1.069374
2018-02-09,1.131323
2018-02-10,1.097742
2018-02-11,0.99312
2018-02-12,1.040042
2018-02-13,0.97762
2018-02-14,1.069171
2018-02-15,1.253349
2018-02-16,1.303659
2018-02-17,1.285777
2018-02-18,1.170631
2018-02-19,1.181195
2018-02-20,1.043737
2018-02-21,0.926373
2018-02-22,0.922784
2018-02-23,0.990851
2018-02-24,0.914261
2018-02-25,0.99057
2018-02-26,1.02228
2018-02-27,0.991398
2018-02-28,0.927113
2018-03-01,0.953944
2018-03-02,0.94366
2018-03-03,0.916327
2018-03-04,0.912807
2018-03-05,0.887943
2018-03-06,0.782187
2018-03-07,0.700775
2018-03-08,0.642366
2018-03-09,0.628229
2018-03-10,0.645609
2018-03-11,0.681274
2018-03-12,0.632439
2018-03-13,0.594106
2018-03-14,0.522453
2018-03-15,0.490615
2018-03-16,0.52345
2018-03-17,0.453991
2018-03-18,0.43718
2018-03-19,0.469708
2018-03-20,0.537875
2018-03-21,0.586418
2018-03-22,0.582555
2018-03-23,0.557901
2018-03-24,0.598961
2018-03-25,0.599533
2018-03-26,0.663091
2018-03-27,0.641311
2018-03-28,0.635925
2018-03-29,0.538567
2018-03-30,0.516142
2018-03-31,0.549494
2018-04-01,0.505895
2018-04-02,0.533262
2018-04-03,0.596841
2018-04-04,0.524938
2018-04-05,0.550185
2018-04-06,0.520382
2018-04-07,0.53828
2018-04-08,0.568602
2018-04-09,0.539895
2018-04-10,0.560157
2018-04-11,0.598966
2018-04-12,0.68781
2018-04-13,0.682351
2018-04-14,0.729752
2018-04-15,0.788771
2018-04-16,0.747293
2018-04-17,0.827898
2018-04-18,0.915079
2018-04-19,0.910785
2018-04-20,0.946408
2018-04-21,0.921512
2018-04-22,0.987824
2018-04-23,0.998211
2018-04-24,1.178968
2018-04-25,1.005687
2018-04-26,1.134334
2018-04-27,1.066555
2018-04-28,1.18972
2018-04-29,1.281031
2018-04-30,1.170162
2018-05-01,1.192917
2018-05-02,1.302294
2018-05-03,1.452783
2018-05-04,1.7293
2018-05-05,1.638069
2018-05-06,1.598321
2018-05-07,1.703543
2018-05-08,1.72335
2018-05-09,1.716282
2018-05-10,1.859569
2018-05-11,1.676277
2018-05-12,1.648633
2018-05-13,1.758429
2018-05-14,1.553854
2018-05-15,1.486148
2018-05-16,1.3726
2018-05-17,1.247744
2018-05-18,1.300375
2018-05-19,1.448638
2018-05-20,1.450184
2018-05-21,1.330793
2018-05-22,1.157229
2018-05-23,1.334351
2018-05-24,1.36488
2018-05-25,1.277933
2018-05-26,1.210025
2018-05-27,1.179119
2018-05-28,1.032869
2018-05-29,1.24925
2018-05-30,1.227084
2018-05-31,1.268744
2018-06-01,1.251673
2018-06-02,1.275247
2018-06-03,1.335681
2018-06-04,1.238966
2018-06-05,1.258353
2018-06-06,1.326425
2018-06-07,1.283376
2018-06-08,1.265088
2018-06-09,1.222069
2018-06-10,1.052812
2018-06-11,1.064949
2018-06-12,0.896635
2018-06-13,0.822216
2018-06-14,0.942556
2018-06-15,0.875951
2018-06-16,0.873664
2018-06-17,0.839459
2018-06-18,0.865873
2018-06-19,0.873843
2018-06-20,0.8738
2018-06-21,0.845899
2018-06-22,0.739641
2018-06-23,0.725187
2018-06-24,0.682091
2018-06-25,0.706334
2018-06-26,0.626843
2018-06-27,0.641364
2018-06-28,0.607665
2018-06-29,0.656557
2018-06-30,0.796344
2018-07-01,0.79528
2018-07-02,0.95428
2018-07-03,0.891211
2018-07-04,0.954915
2018-07-05,0.998361
2018-07-06,1.014415
2018-07-07,0.99046
2018-07-08,0.966337
2018-07-09,0.913147
2018-07-10,0.816437
2018-07-11,0.837762
2018-07-12,0.775956
2018-07-13,0.975079
2018-07-14,0.989065
2018-07-15,1.1028
2018-07-16,1.183566
2018-07-17,1.242745
2018-07-18,1.206569
2018-07-19,1.249581
2018-07-20,1.060429
2018-07-21,1.145213
2018-07-22,1.124653
2018-07-23,1.133013
2018-07-24,1.111194
2018-07-25,1.171035
2018-07-26,1.083718
2018-07-27,1.146514
2018-07-28,1.239449
2018-07-29,1.191932
2018-07-30,1.15558
2018-07-31,1.092662
2018-08-01,1.053834
2018-08-02,0.952855
2018-08-03,0.961036
2018-08-04,0.938615
2018-08-05,0.958441
2018-08-06,0.945587
2018-08-07,0.902607
2018-08-08,0.843012
2018-08-09,0.935581
2018-08-10,0.862821
2018-08-11,0.848664
2018-08-12,0.864729
2018-08-13,0.766039
