Date,1inch - Price ($)
2020-12-24,2.356306
2020-12-25,2.356306
2020-12-26,1.615162
2020-12-27,1.075165
2020-12-28,1.114812
2020-12-29,0.892788
2020-12-30,1.092417
2020-12-31,1.372436
2021-01-01,1.149275
2021-01-02,1.02963
2021-01-03,1.115702
2021-01-04,1.010179
2021-01-05,1.257711
2021-01-06,1.516463
2021-01-07,1.312864
2021-01-08,1.197436
2021-01-09,1.252969
2021-01-10,1.216406
2021-01-11,1.126908
2021-01-12,1.125244
2021-01-13,1.276337
2021-01-14,1.329616
2021-01-15,1.345684
2021-01-16,1.651222
2021-01-17,2.027588
2021-01-18,1.872377
2021-01-19,1.918043
2021-01-20,1.867014
2021-01-21,1.565528
2021-01-22,1.766017
2021-01-23,1.929093
2021-01-24,2.472836
2021-01-25,2.404575
2021-01-26,2.661685
2021-01-27,2.519869
2021-01-28,3.127688
2021-01-29,3.353491
2021-01-30,4.580522
2021-01-31,4.991271
2021-02-01,5.011209
2021-02-02,4.665716
2021-02-03,5.024057
2021-02-04,5.551383
2021-02-05,5.819219
2021-02-06,5.250323
2021-02-07,4.93877
2021-02-08,5.348915
2021-02-09,5.120852
2021-02-10,4.890906
2021-02-11,5.638933
2021-02-12,5.291805
2021-02-13,5.703166
2021-02-14,5.272576
2021-02-15,4.934573
2021-02-16,4.74992
2021-02-17,4.856511
2021-02-18,4.783802
2021-02-19,4.630221
2021-02-20,5.184956
2021-02-21,5.074846
2021-02-22,4.554266
2021-02-23,3.607942
2021-02-24,3.638016
2021-02-25,3.927714
2021-02-26,4.537558
2021-02-27,4.206901
2021-02-28,3.818938
2021-03-01,4.115217
2021-03-02,4.019444
2021-03-03,4.090446
2021-03-04,3.865638
2021-03-05,3.758236
2021-03-06,3.825886
2021-03-07,3.991743
2021-03-08,4.319623
2021-03-09,4.449524
2021-03-10,4.017148
2021-03-11,4.007562
2021-03-12,3.808089
2021-03-13,4.154027
2021-03-14,3.875137
2021-03-15,3.942713
2021-03-16,4.583272
2021-03-17,5.017502
2021-03-18,4.578417
2021-03-19,4.915456
2021-03-20,4.732416
2021-03-21,4.674777
2021-03-22,4.307185
2021-03-23,4.109397
2021-03-24,3.71444
2021-03-25,3.666187
2021-03-26,4.012969
2021-03-27,4.001967
2021-03-28,4.083902
2021-03-29,4.578652
2021-03-30,4.499757
2021-03-31,4.32135
2021-04-01,4.460199
2021-04-02,4.680864
2021-04-03,4.246245
2021-04-04,4.583264
2021-04-05,5.267278
2021-04-06,5.225707
2021-04-07,5.541179
2021-04-08,6.210335
2021-04-09,6.104218
2021-04-10,5.745232
2021-04-11,5.675246
2021-04-12,5.535183
2021-04-13,5.642252
2021-04-14,5.883046
2021-04-15,6.094857
2021-04-16,5.81723
2021-04-17,6.474073
2021-04-18,5.275458
2021-04-19,4.849783
2021-04-20,5.008304
2021-04-21,5.045825
2021-04-22,4.612725
2021-04-23,4.277354
2021-04-24,3.93519
2021-04-25,3.978819
2021-04-26,4.544625
2021-04-27,5.130118
2021-04-28,5.551677
2021-04-29,5.464205
2021-04-30,5.665324
2021-05-01,5.509215
2021-05-02,5.363371
2021-05-03,5.863427
2021-05-04,5.222558
2021-05-05,5.981397
2021-05-06,6.617718
2021-05-07,6.585822
2021-05-08,7.454141
2021-05-09,7.069893
2021-05-10,6.200133
2021-05-11,6.516353
2021-05-12,5.623346
2021-05-13,5.553435
2021-05-14,5.753256
2021-05-15,5.262163
2021-05-16,5.058799
2021-05-17,4.708246
2021-05-18,5.302843
2021-05-19,3.31248
2021-05-20,3.597471
2021-05-21,3.065238
2021-05-22,2.730739
2021-05-23,2.377898
2021-05-24,2.933155
2021-05-25,2.883457
2021-05-26,3.405476
2021-05-27,3.276214
2021-05-28,2.760912
2021-05-29,2.571789
2021-05-30,2.881314
2021-05-31,3.206416
2021-06-01,3.116633
2021-06-02,3.389688
2021-06-03,3.500335
2021-06-04,3.389356
2021-06-05,3.674678
2021-06-06,3.889105
2021-06-07,3.363661
2021-06-08,3.108175
2021-06-09,3.173716
2021-06-10,3.014994
2021-06-11,2.729424
2021-06-12,2.747778
2021-06-13,3.018185
2021-06-14,3.694479
2021-06-15,3.775157
2021-06-16,3.574329
2021-06-17,3.419585
2021-06-18,3.148849
2021-06-19,3.030645
2021-06-20,3.461388
2021-06-21,2.674328
2021-06-22,2.387915
2021-06-23,2.612704
2021-06-24,2.696853
2021-06-25,2.387349
2021-06-26,2.330749
2021-06-27,2.50728
2021-06-28,2.467777
2021-06-29,2.539062
2021-06-30,2.534192
2021-07-01,2.390774
2021-07-02,2.403303
2021-07-03,2.467592
2021-07-04,2.53835
2021-07-05,2.509724
2021-07-06,2.836763
2021-07-07,2.759161
2021-07-08,2.515316
2021-07-09,2.592841
2021-07-10,2.496497
2021-07-11,2.521551
2021-07-12,2.430794
2021-07-13,2.308724
2021-07-14,2.295109
2021-07-15,2.137645
2021-07-16,1.968362
2021-07-17,2.011519
2021-07-18,2.039921
2021-07-19,1.813544
2021-07-20,1.722354
2021-07-21,1.827305
2021-07-22,2.064307
2021-07-23,2.109192
2021-07-24,2.046462
2021-07-25,2.054427
2021-07-26,2.130862
2021-07-27,2.20062
2021-07-28,2.17951
2021-07-29,2.250476
2021-07-30,2.311083
2021-07-31,2.396717
2021-08-01,2.326251
2021-08-02,2.318811
2021-08-03,2.233789
2021-08-04,2.347565
2021-08-05,2.40944
2021-08-06,2.511561
2021-08-07,2.71464
2021-08-08,2.485504
2021-08-09,2.768621
2021-08-10,2.798998
2021-08-11,2.958432
2021-08-12,2.798523
2021-08-13,3.063317
2021-08-14,3.041949
2021-08-15,3.053078
2021-08-16,3.043885
2021-08-17,3.045313
2021-08-18,3.157348
2021-08-19,3.386902
2021-08-20,3.442703
2021-08-21,3.365417
2021-08-22,3.375628
2021-08-23,3.404947
2021-08-24,3.082039
2021-08-25,3.173728
2021-08-26,2.963941
2021-08-27,3.210463
2021-08-28,3.291091
2021-08-29,3.161408
2021-08-30,3.018413
2021-08-31,3.062175
2021-09-01,3.358504
2021-09-02,3.362713
2021-09-03,3.576772
2021-09-04,3.699045
2021-09-05,3.828871
2021-09-06,3.721858
2021-09-07,2.939271
