Date,Aevo - Price ($)
2024-03-12,3.222647
2024-03-13,3.222647
2024-03-14,3.043121
2024-03-15,2.75041
2024-03-16,2.865395
2024-03-17,2.79639
2024-03-18,2.349146
2024-03-19,2.139195
2024-03-20,2.591596
2024-03-21,2.504929
2024-03-22,2.386117
2024-03-23,2.420291
2024-03-24,2.445397
2024-03-25,2.451688
2024-03-26,2.449775
2024-03-27,3.699587
2024-03-28,3.140816
2024-03-29,3.175979
2024-03-30,2.951291
2024-03-31,2.967542
2024-04-01,3.049202
2024-04-02,3.086221
2024-04-03,2.952595
2024-04-04,3.104965
2024-04-05,2.888657
2024-04-06,2.938784
2024-04-07,2.977062
2024-04-08,3.114665
2024-04-09,2.76514
2024-04-10,2.653587
2024-04-11,2.440964
2024-04-12,1.922446
2024-04-13,1.597803
2024-04-14,1.839186
2024-04-15,1.620911
2024-04-16,1.653323
2024-04-17,1.577065
2024-04-18,1.595148
2024-04-19,1.518908
2024-04-20,1.72628
2024-04-21,1.772595
2024-04-22,1.825076
2024-04-23,1.6682
2024-04-24,1.512159
2024-04-25,1.518124
2024-04-26,1.466738
2024-04-27,1.501448
2024-04-28,1.52247
2024-04-29,1.537785
2024-04-30,1.398653
2024-05-01,1.37637
2024-05-02,1.384778
2024-05-03,1.459933
2024-05-04,1.444955
2024-05-05,1.4336
2024-05-06,1.413491
2024-05-07,1.32417
2024-05-08,1.230938
2024-05-09,1.263839
2024-05-10,1.189741
2024-05-11,1.20961
2024-05-12,1.183079
2024-05-13,1.096456
2024-05-14,1.007558
2024-05-15,0.803237
2024-05-16,0.799862
2024-05-17,0.819798
2024-05-18,0.826376
2024-05-19,0.801903
2024-05-20,0.862713
2024-05-21,0.939126
2024-05-22,0.889884
2024-05-23,0.846356
2024-05-24,0.844017
2024-05-25,0.872414
2024-05-26,0.869982
2024-05-27,0.92603
2024-05-28,0.914236
2024-05-29,0.887771
2024-05-30,0.865605
2024-05-31,0.901535
2024-06-01,0.900808
2024-06-02,1.058092
2024-06-03,0.976335
2024-06-04,0.966435
2024-06-05,0.978883
2024-06-06,0.99795
2024-06-07,0.840408
2024-06-08,0.794929
2024-06-09,0.788514
2024-06-10,0.730887
2024-06-11,0.68304
2024-06-12,0.702968
2024-06-13,0.655385
2024-06-14,0.626805
2024-06-15,0.622685
2024-06-16,0.627358
2024-06-17,0.55782
2024-06-18,0.489645
2024-06-19,0.481599
2024-06-20,0.455088
2024-06-21,0.470218
2024-06-22,0.480783
2024-06-23,0.459399
2024-06-24,0.515714
2024-06-25,0.504122
2024-06-26,0.493768
2024-06-27,0.500272
2024-06-28,0.459808
2024-06-29,0.478574
2024-06-30,0.524694
2024-07-01,0.507489
2024-07-02,0.51841
2024-07-03,0.512797
2024-07-04,0.3944
2024-07-05,0.349951
2024-07-06,0.419763
2024-07-07,0.433919
2024-07-08,0.45679
2024-07-09,0.454517
2024-07-10,0.474363
2024-07-11,0.430723
2024-07-12,0.459351
2024-07-13,0.474042
2024-07-14,0.492158
2024-07-15,0.561673
2024-07-16,0.569124
2024-07-17,0.579027
